CÓDIGO;RUBRICA;ABATE TETO C.F.ATÉ JAN2004;ABATE TETO C.F. A PARTIR FEV2004
00236;GRAT.EXTRAORD.LEI 7760/89-ATIV;X;X
00237;GRAT.EXTRAORD.LEI 7760/89-APOS;X;X
00238;GRAT.EXTRAORD.LEI 7761/89-ATIV;X;X
00239;GRAT.EXTRAORD.LEI 7761/89-AP;X;X
00240;RETRIB.ADIC.VARIAVEL-RAV/ATIVO;X;X
00241;RETRIB.ADIC.VARIAVEL-RAV-APOS.;X;X
00242;RETRIB.ADIC.VAR. - PENSIONISTA;X;X
00243;GRAT.LEI 8460/92 ART.7 - ATIVO;X;X
00244;GRAT.LEI 8460/92 ART.7 - APOS.;X;X
00245;PROLABORE DE EXITO - ATIVO;X;X
00246;PROLABORE DE EXITO - APOS.;X;X
00247;PROLABORE DE EXITO-PENSIONISTA;X;X
00248;GRAT.LEI 7923/89-PENSIONISTA;;
00249;AD TEMPO SERVICO ART 192 I APO;X;X
00250;ADIC. DE PERICULOSIDADE CLT;;
00251;COMP. SAL. LEI 7995/90 _ ATIVO;X;X
00252;COMP. SAL. LEI 7995/90 - APOS.;X;X
00253;DIFERENCA INDIVIDUAL L.7923/89;X;X
00254;DIFERENCA INDIVIDUAL L.7923/89;X;X
00255;PROVENTO DISPONIBILIDADE;X;X
00256;FUNCAO GRATIFICADA - FG - IFES;X;X
00257;PRODUCAO P/FERIAS (L.5462/68);;
00258;VANTAGEM L.5462/68 - APOSENT;X;X
00259;PRODUCAO P/ LICENCA(L.5462/68);X;X
00260;GRATIFICACAO ESPECIAL L4341/64;X;X
00261;GRAT.H.EXTRA INCORP.SUB-JUDICE;X;X
00262;ADICIONAL TRANSFERENCIA - CLT;;
00263;13 SALARIO - 1/12 - EMP. CLT;X;X
00264;ABONO PERMANENCIA SERVICO/CLT;;
00265;GRATIFIC.CARGO DIRECAO 20% CLT;X;X
00266;MANUTENCAO ADICIONAL NOTURNO;;X
00267;PREMIO DE PRODUCAO;X;X
00268;PREMIO ANUAL DE PONTUALID CLT;X;X
00269;REM. FUNCAO DE CONFIANCA - CLT;X;X
00270;GRAT.EXTRAORDINARIA OUT.FONTE;;
00271;GRAT.PRO-LABORE D.95823/88;X;X
00272;COMPLEMENTO AUX.ACID.TRAB. CLT;;
00273;ADIANT.AUX.DOENCA 13.SAL. CLT;;
00274;GRAT.REPRESENTACAO SEGURIDADE;X;X
00275;ACIDENTE/TRAB. COMPLEMENTO CLT;;
00276;13 ACIDENTE TRAB. COMPLEM. CLT;;
00277;COMPLEMENTO AUXILIO DOENCA CLT;;
00278;COMPLEMENTO SAL. MATERNID CLT;X;X
00279;VANTAGEM PESSOAL  D. 90698/84;X;X
00280;GRATIFICACAO RETORNO FERIAS;X;X
00281;GRATIFICACAO DE FUNCAO 40% CLT;X;X
00282;VANTAGEM INDI. L 7662/88 ATIVO;X;X
00283;VANTAGEM INDI.L7662/88 INATIVO;X;X
00284;INDENIZACAO SUMULA TST 142 CLT;X;X
00285;INDENIZACAO SUMULA TST 148 CLT;X;X
00286;INDENIZACAO EMPREGADO - CLT;;
00287;DIFERENCA INDIVIDUAL - APOS.;X;X
00288;GFJ -ART.1 DA LEI 9.651/98;X;X
00289;AUXILIO DOENCA INSS CARNE CLT;;
00290;DIARIAS NORMAIS - CLT;;
00291;DIARIAS EXTERIOR - CLT;;
00292;AUXILIO ELABORACAO DE TESE CLT;;
00293;HONORARIO DIRIGENTE - CLT;X;X
00294;COMPLEMEN. HONOR.DIRIGENTE CLT;X;X
00295;DIARIAS ACRESCIDAS DE 80%;;
00296;DIARIAS ACRESCIDAS DE 70%;;
00297;DIARIAS EXCEDENTE A 50% EM CLT;;
00298;GFJ -ART.1 DA LEI 9.651/98;X;X
00299;GP - ART. 13 DA LEI 9.651/98;X;X
00300;ADIC.SOBREAVISO/PRONTIDAO/CLT;X;X
00301;GRAT.CARGO COMISSIONADO - CLT;X;X
00302;ADICIONAL ATIVIDADE CAMPANHA;X;X
00303;DIARIAS;;
00304;INDENIZ ADIC L 7238-84 A 9 CLT;;
00305;REPR.MENSAL D.L.2333/87 AGREGA;X;X
00306;GAE - LD 13/92 RM AS.JUR AGRE;X;X
00307;INDENIZACAO ART 479 - CLT;;
00308;LICENCA PREMIO EM PECUNIA;;
00309;SENTENCA JUDICIAL/CLT EMPRESA;X;X
00310;GRAT.PORT. 208/80 SUB-JUDICE;X;X
00311;HORAS IN INTINERE - CLT;;
00312;MULTA DA LEI 7.855/89;;
00313;AUX.DOENCA INSS CART CONC. CLT;;
00314;ACIDEN. TRAB. PRIM.15 DIAS CLT;;
00315;ADIC.PES.ATO 160/88 SUB-JUDICE;X;X
00316;REPOUSO SEMANAL REMUNERADO-CLT;X;X
00317;REMUN. DL 1971 CLT - SENT.JUD.;X;X
00318;GRAT.DIRECAO INTERMEDIARIA-DI;X;X
00319;QUEBRA DE CAIXA - CLT;X;X
00320;INDENIZACAO REPRESENTACAO PM;X;X
00321;SALARIO-GARANTIA 60H.TST 1335;X;X
00322;QUANTITATIVO ALIMENTACAO-CLT;;
00323;GRAT.P/TEMPO SERVICO - PM;;
00324;GRAT.DE ATIVIDADE JURIDICA-CLT;X;X
